Author,Publication Year,Short Title,DOI,Url,Technology Used,Infrastructure Type/Sector,Transportation Link,Resilience / Security Aspect,Key Insight/Gap
"Wanyama, Joshua; Bwambale, Erion; Kiraga, Shafik; Katimbo, Abia; Nakawuka, Prossie; Kabenge, Isa; Oluk, Isaac",2024,A systematic review of fourth industrial revolution technologies in smart irrigation,10.1016/j.atech.2024.100412,https://linkinghub.elsevier.com/retrieve/pii/S2772375524000170,"IoT, AI, UAVs (drones), Big Data, Blockchain",Agriculture (Smart Irrigation),"Indirect (agri-water infrastructure resilience, impacts food supply logistics)","Water efficiency, climate resilience, food security","Barriers: high costs, limited infrastructure, lack of expertise. Calls for mobile IoT, financing models, policy support."
"Obuseh, Emmanuel; Eyenubo, Jonathan; Alele, Jude; Okpare, Anthony; Oghogho, Ikponmwosa",2025,,10.24112/jaes.090002,https://ejournals.lib.hkbu.edu.hk/index.php/jaes/article/view/2881,"AI forecasting, Smart grids, Hybrid storage",Energy (Renewables),Grid infrastructure (supports e-mobility/transport indirectly),"Energy security, reduced emissions","Barriers include high costs, intermittency, regulatory fragmentation. Recommends AI-driven forecasting, harmonized policies."
"Dzinamarira, Tafadzwa; Mbunge, Elliot; Steiner, Claire; Moyo, Enos; Akinjeji, Adewale; Yamba, Kaunda; Mwila, Loveday; Muvunyi, Claude Mambo",2025,,10.1002/ail2.123,https://onlinelibrary.wiley.com/doi/10.1002/ail2.123,"AI, ML",Healthcare (Antimicrobial Resistance),Not transport-related,"Data security, algorithmic fairness, resource constraints","Major adoption challenges: weak infrastructure, public distrust, lack of funding. Needs explainable AI and policies."
"Ogundiran, John Omomoluwa; Nyembwe, Jean-Paul Kapuya Bulaba; Ogundiran, James; Ribeiro, Anabela Salgueiro Narciso; Gameiro Da Silva, Manuel",2025,,10.3390/atmos16020140,https://www.mdpi.com/2073-4433/16/2/140,"AI, IoT for ventilation/monitoring","Transport (Passenger Vehicles – buses, metro, trains, etc.)",Direct: passenger transport systems,"Indoor Environmental Quality (IAQ, TC, AC, VC), commuter health","Gaps: limited research in SSA and tropics, inadequate standards, poor HVAC. Recommends AI/IoT for sustainable ventilation."
"Fue, Kadeghe Goodluck; Baitu, Geofrey Prudence; Jokonya, Osden; Banwart, Steven; Korsten, Lise",2025,Digitalization of precision fertilization in East Africa,10.3389/fsufs.2025.1497577,https://www.frontiersin.org/articles/10.3389/fsufs.2025.1497577/full,"AI/ML, ICT tools, Mobile apps, Variable Rate Application (VRA)",Agriculture (Precision Fertilization),Indirect (supports agri supply chain resilience),"Environmental sustainability, economic efficiency","Barriers: affordability, low literacy, limited data accuracy. Needs region-tailored strategies."
"Chavula, Petros; Kayusi, Fredrick",2025,,10.62486/latia2025318,https://latia.ageditor.uy/index.php/latia/article/view/318,"AI (ML, remote sensing, Big Data)",Agriculture (Food Systems in SSA),Indirect (food security resilience affecting transport),Food system resilience,"Promise of AI in yields/forecasting, but adoption gaps (infrastructure, financial, digital divide). Needs policies + local governance."
"Ngulube, Patrick",2025,,10.1007/s44274-025-00190-1,https://link.springer.com/10.1007/s44274-025-00190-1,"ICTs (Radio, Mobile, Satellites, IoT, AI, Drones)",Agriculture/Environment,Indirect (knowledge & resilience capacity),"Sustainability, bridging digital divide",Gap: infrastructure + literacy constraints. Policy needed for equitable ICT access.
"Leal Filho, Walter; Wall, Tony; Rui Mucova, Serafino Afonso; Nagy, Gustavo J.; Balogun, Abdul-Lateef; Luetz, Johannes M.; Ng, Artie W.; Kovaleva, Marina; Safiul Azam, Fardous Mohammad; Alves, Fátima; Guevara, Zeus; Matandirotya, Newton R; Skouloudis, Antonis; Tzachor, Asaf; Malakar, Krishna; Gandhi, Odhiambo",2022,,,https://hdl.handle.net/10986/32365,AI (general + adaptation models),Climate Change/Environment,Indirect (affects climate resilience of transport infra),"Adaptation, governance, policy coherence","AI strengthens governance & adaptation strategies, especially water/land mgmt."
"Singh, Shivam; Goyal, Manish Kumar",2023,Enhancing climate resilience in businesses,10.1016/j.techfore.2022.121662,https://linkinghub.elsevier.com/retrieve/pii/S0040162522001949,AI (Deep Learning for extreme weather prediction),"Multi-sector (Business, Agriculture, Transport, Energy)","Yes – transportation infra at risk from floods, ARs","Climate resilience, risk prediction, business continuity","Gaps: risk frameworks underdeveloped, need deep learning-based DSS for infrastructure resilience."
"Arfanuzzaman, Md.",2021,,10.1016/j.jclepro.2023.138228,https://linkinghub.elsevier.com/retrieve/pii/S0959652623023867,AI & Big Data,Urban systems / Smart cities,"Indirect (urban mobility, service delivery)","Climate resilience, service delivery efficiency","South Asia can scale AI & Big Data in cities with better IT infrastructure, regional cooperation, and innovation ecosystems."
"Mienye, Ibomoiye Domor; Sun, Yanxia; Ileberi, Emmanuel",2024,Artificial intelligence and sustainable development in Africa,10.1016/j.indic.2021.100127,https://linkinghub.elsevier.com/retrieve/pii/S2665972721000283,AI,"Cross-sector (healthcare, agriculture, education, infra)",Indirect (infrastructure resilience),"Sustainable development, adoption barriers","Africa-specific framework for AI adoption; challenges include infrastructure, funding, and socio-economic divides."
"Awogbemi, Omojola; Kallon, Daramy Vandi Von; Kumar, K. Sunil",2024,,10.1016/j.mlwa.2024.100591,https://linkinghub.elsevier.com/retrieve/pii/S2666827024000677,AI & Digitization,Energy sector,"Indirect (energy for transport, electrification)","Energy access, efficiency, security","AI catalyzes SDG 7 (clean energy) but barriers include ethics, regulation, manpower shortage; calls for collaboration."
"Olawade, David B.; Wada, Ojima Z.; David-Olawade, Aanuoluwapo Clement; Fapohunda, Oluwaseun; Ige, Abimbola O.; Ling, Jonathan",2024,Artificial intelligence potential for net zero sustainability,10.1016/j.iswa.2024.200389,https://linkinghub.elsevier.com/retrieve/pii/S2667305324000644,AI,"Cross-sector (energy, agriculture, transport, waste)",Yes (transport emissions & efficiency),"Climate change mitigation, emissions monitoring","AI supports net-zero transition, but challenges include data quality, fairness, governance, and high energy costs."
"Olaitan, Olutoyin O.; Issah, Moshood; Wayi, Ntombovuyo",2021,,10.1016/j.nxsust.2024.100041,https://linkinghub.elsevier.com/retrieve/pii/S2949823624000187,"4IR (AI, IoT, Blockchain, Big Data, etc.)",National infrastructure (South Africa readiness),Indirect (transport readiness included),"Technological readiness, resilience of institutions","South Africa lags in 4IR readiness; framework suggests capacity building, infra upgrades, legal/policy enforcement."
Eche Samuel Okem; Tosin Daniel Iluyomade; Dorcas Oluwajuwonlo Akande,2024,Revolutionizing U.S. Pavement Infrastructure,10.4102/sajim.v23i1.1284,http://www.sajim.co.za/index.php/SAJIM/article/view/1284,Nanotech + AI,Infrastructure projects (U.S.),Yes (potential in construction & transport projects),"Reliability, predictive maintenance, sustainability","AI + nanotechnology integration can enhance material resilience, efficiency, and innovation in infrastructure."
Afees Olanrewaju Akinade; Peter Adeyemo Adepoju; Adebimpe Bolatito Ige; Adeoye Idowu Afolabi; Olukunle Oladipupo Amoo,2021,A conceptual model for network security automation,10.30574/wjaets.2024.11.2.0124,https://wjaets.com/node/1178,"AI (ML, NLP, predictive analytics)",Network infrastructures (cyber),Indirect (smart transport networks rely on comms),"Cyber resilience, threat detection, automation","AI security automation improves resilience in multi-vendor networks, reducing risks and harmonizing protocols."
"Okolo, Francess Chinyere; Etukudoh, Emmanuel Augustine; Ogunwole, Olufunmilayo; Osho, Grace Omotunde; Basiru, Joseph Ozigi",2023,,10.53771/ijstra.2021.1.1.0034,https://sciresjournals.com/ijstra/node/628,CPS (Cyber-Physical Systems) + ICT + AI,Transportation infrastructure (emerging & coastal economies),Direct (transport systems focus),"Resilience to extreme weather, adaptive responses","CPS improves predictive maintenance & real-time monitoring but faces challenges in cost, scalability, and localization."
,2015,,10.54660/.IJMRGE.2023.4.1.1188-1198,https://www.allmultidisciplinaryjournal.com/search?q=MGE-2025-2-334&search=search,AI,"Economic systems (Nigeria, policy + infra)",Indirect (transport infra part of broader economy),"Socioeconomic resilience, inclusive growth","AI can support policy optimization but gaps in digital infra, regulation, and workforce readiness remain."
"Aroba, Oluwasegun Julius; Rudolph, Michael",2024,,,https://www.taylorfrancis.com/books/9781317522492/chapters/10.4324/9781315721606-134,AI (Precision Agriculture),Agriculture (South Africa),Yes (transport & logistics for agri supply chain),"Climate adaptation, infrastructure resilience",AI-driven precision agriculture boosts productivity but small-scale farmers face infra & adoption barriers.
Adebayo Olusegun Aderibigbe; Peter Efosa Ohenhen; Nwabueze Kelvin Nwaobia; Joachim Osheyor Gidiagba; Emmanuel Chigozie Ani,2023,ARTIFICIAL INTELLIGENCE IN DEVELOPING COUNTRIES,10.24294/jipd8872,https://systems.enpress-publisher.com/index.php/jipd/article/view/8872,"AI (general, policy-oriented)","Multi-sector (healthcare, agriculture, education in developing countries)",Indirect (transport infra part of socio-economic systems),"Organizational resilience, sustainable growth, ethical adoption",AI can drive socio-economic development in developing countries but requires tailored policy frameworks & capacity building.
"Aryatwijuka, Dr Wilbroad; Mutebi, Assoc Prof Henry; Nagawa, Pamela; Tukamuhabwa, Assoc Prof Benjamin; Ssekajja, Samuel Mayanja; Kyomuhangi Diana; Akashabaluhanga, Allan",2024,Artificial Intelligence and Humanitarian Supply Chain Resilience,10.51594/csitrj.v4i3.629,https://fepbl.com/index.php/csitrj/article/view/629,AI (humanitarian logistics modeling),Humanitarian supply chain,"Yes (logistics, emergency transport)",Humanitarian supply chain resilience,Localized logistics capacity mediates AI’s impact on humanitarian supply chain resilience.
"Mageto, Joash; Twinomurinzi, Hossana; Luke, Rose; Mhlongo, Siyabonga; Bwalya, Kelvin; Bvuma, Stella",2024,Building resilience into smart mobility for urban cities,10.47672/ejt.2449,https://ajpojournals.org/journals/index.php/EJT/article/view/2449,AI + ISM (interpretive structural modeling),Smart mobility in emerging economies,Direct (urban transport systems),"Resilient transport systems, foresight",Foresight (anticipating disruptions) identified as the most critical resilience factor; AI complements human intelligence in dynamic capabilities.
"Agbehadji, Israel Edem; Schütte, Stefanie; Masinde, Muthoni; Botai, Joel; Mabhaudhi, Tafadzwanashe",2023,Climate Risks Resilience Development,10.1080/00207543.2022.2139866,https://www.tandfonline.com/doi/full/10.1080/00207543.2022.2139866,AI + 4IR Tech,Early Warning Systems (SADC region),Yes (climate risk → transport infra disruptions),"Climate risk resilience, disaster preparedness",4IR tools + community involvement essential for effective EWS; current gap = lack of real-time data + weak policy integration.
"Mu, Wenjuan; Kleter, Gijs A.; Bouzembrak, Yamine; Dupouy, Eleonora; Frewer, Lynn J.; Radwan Al Natour, Fadi Naser; Marvin, H. J. P.",2024,,10.3390/cli12010003,https://www.mdpi.com/2225-1154/12/1/3,AI + Big Data + IoT,Food safety (early warning),Indirect (agri-food → transport logistics),"Food system resilience, early warning","AI supports early detection of food safety risks (e.g., algal blooms, mycotoxins) but LMICs face adoption barriers (data & connectivity)."
"Mhlanga, David",2023,Artificial Intelligence and Machine Learning for Energy Consumption and Production in Emerging Markets,10.1111/1541-4337.13296,https://ift.onlinelibrary.wiley.com/doi/10.1111/1541-4337.13296,AI + ML,Energy sector (developing countries),Indirect (energy infra affects transport infra),"Energy security, grid reliability","AI enables predictive maintenance, grid optimization & demand forecasting; adoption in developing countries limited by unauthorized grid connections + outages."
Rita Uchenna Attah; Baalah Matthew Patrick Garba; Ifechukwu Gil-Ozoudeh; Obinna Iwuanyanwu,2024,Enhancing supply chain resilience through artificial intelligence,10.3390/en16020745,https://www.mdpi.com/1996-1073/16/2/745,AI in SCM,Supply chain operations (global),Yes (transport logistics),"Supply chain resilience, adaptability","AI enhances decision-making & risk management but challenges include cost, privacy, and resistance to change."
"Benjamin, Oluwasegun Olawale; Foye, Victoria Oluwatoyin",2022,"Inclusion, Organizational Resilience, and Sustainable Development in Nigeria",10.51594/ijmer.v6i12.1745,https://fepbl.com/index.php/ijmer/article/view/1745,Digital Tech + AI,"Nigeria (agriculture, e-commerce, finance, transport)",Yes (transport sector included),"Economic resilience, inclusion",Adoption of Industry 4.0 tech in Nigeria boosts inclusion & resilience; but government support + incentives needed.
