Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
TVNKWNU5,journalArticle,2024,"Wanyama, Joshua; Bwambale, Erion; Kiraga, Shafik; Katimbo, Abia; Nakawuka, Prossie; Kabenge, Isa; Oluk, Isaac","A systematic review of fourth industrial revolution technologies in smart irrigation: Constraints, opportunities, and future prospects for sub-Saharan Africa",Smart Agricultural Technology,,27723755,10.1016/j.atech.2024.100412,https://linkinghub.elsevier.com/retrieve/pii/S2772375524000170,"The adoption of Fourth Industrial Revolution (4IR) technologies has revolutionized agricultural practices worldwide. However, their application in the context of sub-Saharan Africa remains a critical challenge. This study presents a systematic review that investigates the potential of 4IR technologies in smart irrigation. SubSaharan Africa faces multiple agricultural challenges, exacerbated by climate change, water scarcity, and inefficient irrigation practices. The need for sustainable, water-efficient, and data-driven irrigation systems is urgent to ensure food security and economic development in the region. This study addresses a crucial knowledge gap by assessing the constraints, opportunities, and prospects of implementing 4IR technologies for smart irrigation in sub-Saharan Africa. A systematic review methodology was employed, utilizing reputable databases including Web of Science, Google Scholar, Science Direct, Institute of Electrical and Electronics Engineers (IEEE) Xplore, and PubMed. A comprehensive search strategy was designed to identify peer-reviewed articles, conference papers, and reports related to the application of Internet of Things, Artificial Intelligence, Unmanned Aerial Vehicles, Big Data, and Blockchain technology in smart irrigation. The Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) approach was used to arrive at 95 articles included in this research. The review reveals promising trends in the integration of 4IR technologies for smart irrigation. 4IR technologies including Artificial Intelligence, Internet of Things, Big Data technology, Blockchain and drones are widely used in smart irrigation. These technologies have facilitated real time monitoring of soil moisture and weather conditions, precision irrigation scheduling, water allocation optimization, rapid data collection, insights in real time crop water use and transparency and trust in agricultural water management among others. While the potential of 4IR technologies is evident, challenges including limited infrastructure, access to technology, and technical expertise pose significant barriers for the adoption in sub-Saharan Africa. Additionally, the high initial costs associated with these technologies can impede widespread adoption. The study highlights the potential to leverage existing mobile phone penetration for IoT data collection, collaborative partnerships, and innovative financing models to overcome financial constraints. Capacity-building initiatives and knowledge transfer can empower local communities to embrace these technologies. The future of smart irrigation in sub-Saharan Africa relies on policy support, investments, and technology diffusion strategies. It is imperative to create an enabling environment that fosters innovation and addresses the unique needs of the region. Collaboration between governments, academia, industry, and international organizations can catalyze the transformative impact of 4IR technologies, ultimately enhancing irrigation sustainability and food security.",2024-03,8/26/2025 15:04,8/26/2025 15:04,8/26/2025 15:04,100412,,,7,,Smart Agricultural Technology,A systematic review of fourth industrial revolution technologies in smart irrigation,,,,,,,en,,,,,DOI.org (Crossref),,,,"C:\Users\LATITUDE E7470\Zotero\storage\N6VE5PCZ\Wanyama et al. - 2024 - A systematic review of fourth industrial revolution technologies in smart irrigation Constraints, o.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6JQWD9L8,journalArticle,2025,"Obuseh, Emmanuel; Eyenubo, Jonathan; Alele, Jude; Okpare, Anthony; Oghogho, Ikponmwosa",A Systematic Review of Barriers to Renewable Energy Integration and Adoption,Journal of Asian Energy Studies,,2524-1222,10.24112/jaes.090002,https://ejournals.lib.hkbu.edu.hk/index.php/jaes/article/view/2881,"Renewable energy presents a sustainable substitute to fossil fuels, offering potential for reduced greenhouse gas emissions, enhanced energy security, and environmental sustainability. This review analyzes the technical, economic, social, environmental, and policy barriers hindering renewable energy adoption. Challenges such as intermittency, high initial costs, socio-cultural resistance, and regulatory fragmentation are explored alongside region-specific barriers in Africa, Asia, Europe, and the Americas. A systematic review of literature sourced from Science Direct, Academia, and Google Scholar was conducted, focusing on publications addressing thematic and regional perspectives from 2014 onward. The findings reveal a complex interplay of barriers across these domains. Technical challenges include the need for more accurate forecasting tools, scalable energy storage systems, and smart grid infrastructure. Economic constraints stem from high capital costs, insufficient financial mechanisms, and socio-economic disparities. Social acceptance is hindered by cultural resistance, aesthetic concerns, and lack of public engagement. Environmental barriers involve lifecycle impacts and biodiversity concerns, while policy fragmentation and inadequate governance frameworks impede progress. Addressing these gaps requires targeted solutions, such as AI-driven forecasting systems, hybrid energy storage technologies, inclusive financing mechanisms, and harmonized policy frameworks. By tackling these challenges, stakeholders can facilitate a global transition to renewable energy, ensuring a sustainable and equitable energy future. This review highlights critical areas for research and practical intervention, providing a roadmap for overcoming the barriers to renewable energy adoption.",1/24/2025,8/26/2025 15:04,8/26/2025 15:04,8/26/2025 15:04,26-45,,,9,,jaes,,,,,,,,en,https://creativecommons.org/licenses/by-nc/4.0,,,,DOI.org (Crossref),,,,C:\Users\LATITUDE E7470\Zotero\storage\IZ6I6F8V\Obuseh et al. - 2025 - A Systematic Review of Barriers to Renewable Energy Integration and Adoption.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASUT3AI7,journalArticle,2025,"Dzinamarira, Tafadzwa; Mbunge, Elliot; Steiner, Claire; Moyo, Enos; Akinjeji, Adewale; Yamba, Kaunda; Mwila, Loveday; Muvunyi, Claude Mambo",Practical Recommendations for Artificial Intelligence and Machine Learning in Antimicrobial Stewardship for Africa,Applied AI Letters,,"2689-5595, 2689-5595",10.1002/ail2.123,https://onlinelibrary.wiley.com/doi/10.1002/ail2.123,"The challenge of antimicrobial resistance (AMR) represents one of the most pressing global health crises, particularly, in resourceconstrained settings like Africa. In this paper, we explore artificial intelligence (AI) and machine learning (ML) potential in transforming the potential for antimicrobial stewardship (AMS) to improve precision, efficiency, and effectiveness of antibiotic use. The deployment of AI-driven solutions presents unprecedented opportunities for optimizing treatment regimens, predicting resistance patterns, and improving clinical workflows. However, successfully integrating these technologies into Africa's health systems faces considerable obstacles, including limited human capacity and expertise, widespread public distrust, insufficient funding, inadequate infrastructure, fragmented data sources, and weak regulatory and policy enforcement. To harness the full potential of AI and ML in AMS, there is a need to first address these foundational barriers. Capacity-building initiatives are essential to equip healthcare professionals with the skills needed to leverage AI technologies effectively. Public trust must be cultivated through community engagement and transparent communication about the benefits and limitations of AI. Furthermore, technological solutions should be tailored to the unique constraints of resource-limited settings, with a focus on developing low-computational, explainable models that can operate with minimal infrastructure. Financial investment is critical to scaling successful pilot projects and integrating them into national health systems. Effective policy development is equally essential to establishing regulatory frameworks that ensure data security, algorithmic fairness, and ethical AI use. This comprehensive approach will not only improve the deployment of AI systems but also address the underlying issues that exacerbate AMR, such as unauthorized antibiotic sales and inadequate enforcement of guidelines. To effectively and sustainably combat AMR, a concerted effort involving governments, health organizations, communities, and technology developers is essential. Through collaborations and sharing a common goal, we can build resilient and effective AMS programs in Africa.",2025-04,8/26/2025 15:04,8/26/2025 15:04,8/26/2025 15:04,e123,,2,6,,Applied AI Letters,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\LATITUDE E7470\Zotero\storage\YAGH3TSD\Dzinamarira et al. - 2025 - Practical Recommendations for Artificial Intelligence and Machine Learning in Antimicrobial Stewards.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF5ZG5HX,journalArticle,2025,"Ogundiran, John Omomoluwa; Nyembwe, Jean-Paul Kapuya Bulaba; Ogundiran, James; Ribeiro, Anabela Salgueiro Narciso; Gameiro Da Silva, Manuel",A Systematic Review of Indoor Environmental Quality in Passenger Transport Vehicles of Tropical and Subtropical Regions,Atmosphere,,2073-4433,10.3390/atmos16020140,https://www.mdpi.com/2073-4433/16/2/140,"This systematic literature review (SLR) focuses on indoor environmental quality (IEQ) in passenger transport vehicles within tropical and subtropical regions. It specifically examines indoor air quality (IAQ), thermal comfort (TC), acoustic comfort (AC), and visual comfort (VC) of passenger vehicle cabins (PVCs) in auto rickshaws, sedans, trucks, bus rapid transits (BRTs), buses, trains, trams, metro systems, aircraft and ferries of tropical and subtropical regions. The SLR used the PRISMA approach to identify and review scientific studies between 2000 and 2024 on the IEQ of PVCs in the tropics. Studies reviewed were found in SCOPUS, Web of Science, Science Direct, and EBSCO databases including relevant citation references. Findings reveal a significant geographical imbalance in research, with most studies concentrated in tropical Asia (78.2%), while sub-Saharan Africa (8.2%), South America (11.8%), and Oceania (1.8%) are considerably underrepresented. In 113 studies, most addressed IAQ and TC but limited attention to AC and VC. Moreover, fewer studies have jointly addressed all the IEQ parameters, highlighting the need for a more comprehensive approach to IEQ for tropical PVCs. Several studies alluded to in-cabin commuter risk linked to PM2.5, PM10, carbon monoxide (CO), and volatile organic compounds (VOCs). These risks are exacerbated by traffic hotspots, poor ventilation, ambient pollution, overcrowding, and poor vehicle conditions. Additionally, thermal discomfort is compounded by extreme heat loads, inefficient HVAC systems, and high vehicle occupancy. Common gaps include a paucity of IEQ studies and inadequate IEQ regulations or adapted standards in developing tropics. Infrastructural and regulatory deficiencies have been identified, along with strategies for mitigation. Recommendations are for more holistic IEQ studies in the tropics, including exposure studies for emerging gaps in new indoor pollutants, integration of AI and IoT for sustainable ventilation strategies, and development of effective regulatory frameworks considering region-specific conditions. Finally, Policymakers are encouraged to establish localized IEQ standards, enforce regulations, and prioritize upgrades to transport infrastructure. The SLR findings emphasize the urgent need for targeted interventions in developing tropical regions to address disparities in IEQ, ensuring healthier and more sustainable transport environments that could be replicated across transport systems worldwide.",1/27/2025,8/26/2025 15:04,8/26/2025 15:04,8/26/2025 15:04,140,,2,16,,Atmosphere,,,,,,,,en,https://creativecommons.org/licenses/by/4.0/,,,,DOI.org (Crossref),,,,C:\Users\LATITUDE E7470\Zotero\storage\GVDCL9IS\Ogundiran et al. - 2025 - A Systematic Review of Indoor Environmental Quality in Passenger Transport Vehicles of Tropical and.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DKAJ8LAP,journalArticle,2025,"Fue, Kadeghe Goodluck; Baitu, Geofrey Prudence; Jokonya, Osden; Banwart, Steven; Korsten, Lise","Digitalization of precision fertilization in East Africa: adoption, benefits and losses",Frontiers in Sustainable Food Systems,,2571-581X,10.3389/fsufs.2025.1497577,https://www.frontiersin.org/articles/10.3389/fsufs.2025.1497577/full,"Introduction               The rapid digitalization of agriculture in East Africa has spurred the adoption of precision fertilization tools, which optimize nutrient application and enhance crop yields. However, the extent of digital technology adoption, its benefits, and the challenges smallholder farmers face in the region remain unclear.                                         Methods               A systematic review adhering to PRISMA guidelines assessed the adoption of digital technologies for precision fertilization in East Africa. A comprehensive search of English-language studies published between 2010 and 2024 resulted in fifteen studies that met the inclusion criteria.                                         Results               The review highlights digital solutions that assist smallholder farmers in sustainable resource management, including mobile applications, ICT tools, Variable Rate Application (VRA), and AI/ML technologies. Reported benefits include improved crop productivity, increased economic efficiency, and enhanced environmental sustainability. However, issues with data accuracy, limited access to technology, affordability constraints, and low digital literacy hinder widespread adoption.                                         Discussion               The findings emphasize the need for further research and the development of tailored strategies to enhance digital agricultural practices in East Africa. Addressing socioeconomic and infrastructure challenges is crucial to ensuring equitable access and maximizing the effectiveness of digital precision fertilization tools. This review provides valuable insights to support stakeholders in developing sustainable, data-driven agricultural frameworks to improve regional food security.",3/11/2025,8/26/2025 15:04,8/26/2025 15:04,8/26/2025 15:04,1497577,,,9,,Front. Sustain. Food Syst.,Digitalization of precision fertilization in East Africa,,,,,,,en,,,,,DOI.org (Crossref),,,,"C:\Users\LATITUDE E7470\Zotero\storage\QPB326QM\Fue et al. - 2025 - Digitalization of precision fertilization in East Africa adoption, benefits and losses.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87C7MIF7,journalArticle,2025,"Chavula, Petros; Kayusi, Fredrick",Challenges in Sub-Saharan Africa’s Food Systems and the Potential Role of AI,LatIA,,3046-403X,10.62486/latia2025318,https://latia.ageditor.uy/index.php/latia/article/view/318,"Sub-Saharan Africa (SSA) faces persistent food insecurity due to low agricultural productivity, limited access to modern technologies, and growing climate variability. This study explores the transformative potential of Artificial Intelligence (AI) to enhance food systems across SSA. The objective is to assess how AI applications—such as machine learning, remote sensing, and big data analytics—can address systemic inefficiencies in cereal crop production, with a focus on barley, millet, and sorghum. Using a systematic review approach aligned with PRISMA guidelines, literature from 2015–2025 was analyzed across multiple databases to identify empirical studies and models related to AI in SSA agriculture. Results reveal that AI can significantly improve crop monitoring, yield forecasting, and resource optimization. However, adoption barriers such as inadequate infrastructure, financial constraints, and the digital divide persist. The study concludes that while AI holds significant promise, its success in SSA depends on inclusive policies, capacity building, and localized data governance. It recommends interdisciplinary research, investment in rural digital infrastructure, and participatory innovation frameworks to empower smallholder farmers and ensure equitable AI deployment. This review provides a roadmap for integrating AI into SSA food systems to enhance resilience, productivity, and food security.",5/8/2025,8/26/2025 15:04,8/26/2025 15:04,8/26/2025 15:04,318,,,3,,LatIA,,,,,,,,en,https://creativecommons.org/licenses/by/4.0,,,,DOI.org (Crossref),,,,C:\Users\LATITUDE E7470\Zotero\storage\B2GYBH8X\Chavula and Kayusi - 2025 - Challenges in Sub-Saharan Africa’s Food Systems and the Potential Role of AI.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPWLEN82,journalArticle,2025,"Ngulube, Patrick",Leveraging information and communication technologies for sustainable agriculture and environmental protection among smallholder farmers in tropical Africa,Discover Environment,,2731-9431,10.1007/s44274-025-00190-1,https://link.springer.com/10.1007/s44274-025-00190-1,"Using a qualitative approach, this study examines the role of information and communication technologies (ICTs) in promoting sustainable agriculture and environmental protection among smallholder farmers in tropical Africa. It emphasises how tools such as community radios, mobile phones, satellite systems, and artificial intelligence provide crucial market data, weather forecasts, and agricultural practices. The research highlights the need for equitable access to ICT solutions to narrow the digital divide and foster sustainable development. Among these technologies, community radio stations and mobile phones are identified as the most accessible and affordable options for many farmers, and they can effectively spread knowledge about sustainable practices. While advanced technologies like the Internet of Things (IoT), drones, and artificial intelligence have the potential to enhance agricultural productivity and environmental conservation, their adoption in tropical Africa is often hindered by challenges related to infrastructure and literacy. This study demonstrates the role of ICTs in enhancing agricultural productivity and environmental sustainability among smallholder farmers in tropical Africa. It emphasises the need for equitable access to digital tools and strong policy frameworks to tackle infrastructure and literacy challenges, which are essential for closing the digital divide. The study underscores the need for policy formulation to include these strategies and for professionals to adopt them to enhance agricultural productivity and environmental sustainability among smallholder farmers in tropical Africa.",1/23/2025,8/26/2025 15:04,8/26/2025 15:04,8/26/2025 15:04,9,,1,3,,Discov Environ,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\LATITUDE E7470\Zotero\storage\5SZHSSUB\Ngulube - 2025 - Leveraging information and communication technologies for sustainable agriculture and environmental.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XECCLFVR,book,2019,"Strusani, Davide; Houngbonon, Georges Vivien",The Role of Artificial Intelligence in Supporting Development in Emerging Markets,,,,,https://hdl.handle.net/10986/32365,,2019-07,8/26/2025 15:07,8/26/2025 15:07,8/26/2025 15:07,,,,,,,,,,,,"International Finance Corporation, Washington, DC",,en,,,,,DOI.org (Crossref),,DOI: 10.1596/32365,,C:\Users\LATITUDE E7470\Zotero\storage\3RRSDAMY\Strusani and Houngbonon - 2019 - The Role of Artificial Intelligence in Supporting Development in Emerging Markets.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T58XKYCB,journalArticle,2022,"Leal Filho, Walter; Wall, Tony; Rui Mucova, Serafino Afonso; Nagy, Gustavo J.; Balogun, Abdul-Lateef; Luetz, Johannes M.; Ng, Artie W.; Kovaleva, Marina; Safiul Azam, Fardous Mohammad; Alves, Fátima; Guevara, Zeus; Matandirotya, Newton R; Skouloudis, Antonis; Tzachor, Asaf; Malakar, Krishna; Gandhi, Odhiambo",Deploying artificial intelligence for climate change adaptation,Technological Forecasting and Social Change,,401625,10.1016/j.techfore.2022.121662,https://linkinghub.elsevier.com/retrieve/pii/S0040162522001949,"Artificial Intelligence (AI) is believed to have a significant potential use in tackling climate change. This paper explores the connections between AI and climate change research as a whole and its usefulness in climate change adaptation efforts in particular. Using a systematic review of the literature on applications of AI for climate change adaptation and a questionnaire survey of a multinational and interdisciplinary team of climate change researchers, this paper shows the various means via which AI can support research on climate change in diverse regions, and contribute to efforts towards climate change adaptation. The surveyed articles are classified under nine areas, e.g., Global/Earth Related; Water-related Issues and agriculture, 95% of which are related to adaptation. The areas that have attracted the most studies about AI applications are water-related management issues (38%). In terms of the survey results, the most robust agreements were noted concerning the capacity of digitisation and AI to strengthen governance practices and afford policy coherence in climate change. Evidence gathered in the study suggests that, provided that due care is taken, the use of AI can provide a welcome support to global efforts to better understand and handle the many challenges associated with a changing climate.",2022-07,8/26/2025 15:07,8/26/2025 15:07,8/26/2025 15:07,121662,,,180,,Technological Forecasting and Social Change,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\LATITUDE E7470\Zotero\storage\7R8VVSLC\Leal Filho et al. - 2022 - Deploying artificial intelligence for climate change adaptation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F67QBZIT,journalArticle,2023,"Singh, Shivam; Goyal, Manish Kumar",Enhancing climate resilience in businesses: The role of artificial intelligence,Journal of Cleaner Production,,9596526,10.1016/j.jclepro.2023.138228,https://linkinghub.elsevier.com/retrieve/pii/S0959652623023867,"The abrupt rise in extreme weather events (floods, heat waves, droughts, etc.) due to changing climate in the last decades has increased the level of threats to various sectors (agriculture, energy, transportation, etc.) globally. The climate projections from global circulation models indicate even more intense and frequent extreme events in the future, which in turn pose more risks to socioeconomic infrastructure. The enhanced understanding of the climate-related financial risk associated with businesses has driven efforts to include critical information on probable risks associated with climate change in financial decision-making. In this study, we have presented a framework to assess the need of incorporating climate risk assessment as an integral part of business operations. We also reviewed revealed literature to understand the possible impacts of climate change on various sectors and presented key strategies to assess the climate risk associated with them. Also, a framework incorporating probable climate threats to business ecology with principles of robustness, resourcefulness, redundancy, and rapidity has been proposed to adapt and mitigate associated risks for a climate-resilient business ecosystem. The integration of Artificial Intelligence in managing risk could be a promising tool for enhancing business resilience to climate change and could be used as a tool. Robust and accurate predictions of climate and weather extremes from deep learning algorithms at a significant lead time can help in minimizing the associated risk with a business infrastructure. Atmospheric Rivers (ARs), a weather extreme cause huge socioeconomic risk by triggering floods and droughts in various continents of mid-latitude regions. We have presented a case study investigating the ability of deep learning algorithms to predict ARs. The results from the analysis advocate the application of deep learning algorithms to predict weather and climate extremes in decision support systems to enhance the climate resilience of a business ecosystem.",2023-09,8/26/2025 15:07,8/26/2025 15:07,8/26/2025 15:07,138228,,,418,,Journal of Cleaner Production,Enhancing climate resilience in businesses,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\LATITUDE E7470\Zotero\storage\DDL2UKRK\Singh and Goyal - 2023 - Enhancing climate resilience in businesses The role of artificial intelligence.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
